Region Name,wind,value,Amount,Percentage,Regulation Hours
SE,WND,0.3,229658.5570845902,0.0011994276058873,6562.0
MIDW,WND,1,89793387.73821819,0.116837172163861,8760.0
NE,WND,0.5,827876.9818257615,0.014578055737873,4896.0
MIDA,WND,1,19136165.195002973,0.0348782836972202,8760.0
NE,WND,0.1,253048.8728896603,0.0044559284221865,4655.0
NE,WND,0.3,540347.5695730597,0.009514960748985,4777.0
CENT,WND,1,75612841.04742244,0.2919869870407605,8671.0
TEX,WND,1,67591659.261069,0.2041063372890183,8618.0
TEN,WND,0.3,210314.18346330523,0.0021338424048341,5335.0
CAR,WND,0.1,293744.40698993206,0.0021001227471616,7116.0
SE,WND,0.1,229658.5570845902,0.0011994276058873,6562.0
FLA,WND,0.5,201167.06142041087,0.0010911997128966,3961.0
NE,WND,1,1548066.476483561,0.027259846421071,5220.0
NW,WND,0.3,10975678.983276429,0.0443510638100658,8706.0
CAL,WND,0.1,1810168.4792223573,0.0148155328429748,8405.0
NY,WND,0.1,424222.32335691154,0.0055137311359588,7035.0
CAR,WND,1,293744.40698993206,0.0021001227471616,7116.0
TEX,WND,0.3,21955184.414157808,0.0662980066515357,8661.0
FLA,WND,0.3,201167.06142041087,0.0010911997128966,3961.0
NW,WND,0.5,17372914.629682332,0.0702013284537462,8520.0
CAR,WND,0.3,293744.40698993206,0.0021001227471616,7116.0
NY,WND,0.3,842364.9917264581,0.0109484433680221,7116.0
SW,WND,0.5,3582036.337575048,0.0432548105499342,6740.0
NY,WND,1,2309055.495016277,0.0300114125932424,7269.0
TEX,WND,0.5,34998670.34945655,0.1056853832722491,8636.0
CAL,WND,1,7723600.281772524,0.0632146979433477,8299.0
MIDA,WND,0.1,2379187.137455702,0.0043363946278341,8760.0
MIDW,WND,0.1,10823560.93463552,0.0140833783444369,8760.0
TEN,WND,0.1,208702.98284476995,0.0021174952039658,5335.0
NW,WND,0.1,4584453.638577849,0.0185250858893249,8699.0
CENT,WND,0.3,24870740.334343106,0.0960409956179726,8690.0
SE,WND,0.5,229658.5570845902,0.0011994276058873,6562.0
CAL,WND,0.3,3124791.747402355,0.0255752187116774,8575.0
CAR,WND,0.5,293744.40698993206,0.0021001227471616,7116.0
NY,WND,0.5,1261034.2316466123,0.0163899995915352,7190.0
CENT,WND,0.5,39371620.34188661,0.1520376782474049,8673.0
MIDW,WND,0.3,28368859.824822187,0.036912933601618,8760.0
CENT,WND,0.1,10359225.822654337,0.0400032467254422,8625.0
SW,WND,0.1,919321.2683009654,0.0111012462039409,6362.0
MIDA,WND,0.5,9820815.528690455,0.0178997822529864,8760.0
SW,WND,1,6916601.281362191,0.0835212850680597,7990.0
SE,WND,1,229658.5570845902,0.0011994276058873,6562.0
TEN,WND,1,215928.61230205,0.0021908062583305,5332.0
TEN,WND,0.5,211912.04056616127,0.0021500542227286,5334.0
CAL,WND,0.5,4438112.822509632,0.0363242466308807,8444.0
FLA,WND,0.1,201167.06142041087,0.0010911997128966,3961.0
NW,WND,1,33397146.88632664,0.1349528347983309,8545.0
MIDA,WND,0.3,6098988.9231882095,0.0111162431846434,8760.0
FLA,WND,1,201167.06142041087,0.0010911997128966,3961.0
SW,WND,0.3,2250518.6412338763,0.0271760943473754,6571.0
TEX,WND,0.1,8897684.705475926,0.0268683126800116,8651.0
MIDW,WND,0.5,45934493.51901877,0.0597689480564847,8760.0
